Date,沪深300环比,标普500环比,中债10年期国债总值净价指数环比,上证10年期国债指数环比,中债7-10年政策性金融债总值财富指数环比,沪铜现货环比,沪金现货环比,原油现货环比
2012-01-05,-0.0097270255573681,0.0029437093869881,0.0,-0.0002811357885857,0.0006991610067916,-0.0075488454706926,0.013785269104418,0.0222014352738273
2012-01-06,0.0062423398451056,-0.0025369615786926,0.0013745074681572,0.0030933633295837,0.0015969657650463,0.0,0.0062083585705632,-0.0065057622465611
2012-01-09,0.0340391163887192,0.0022616820967125,0.0013726207906297,0.0008410428931875,0.0030891878425511,-0.0098434004474272,-0.0096313017306245,0.009297238173366
2012-01-10,0.0332605749460643,0.0088857655969389,0.0003655304761034,-0.0027077497665731,0.0014901649115837,0.0,0.0059261510408752,-0.0019392833207375
2012-01-11,-0.0047970253539542,0.0003095783542814,-0.0015529368776834,0.0007489935399307,-0.0015871441325264,0.009037505648441,0.0102114803625377,0.0024573885960024
2012-01-12,-0.0001601241578086,0.0023365932161425,0.0004574565416284,0.0014968659369445,-0.0017883755588674,0.0085087326466637,0.0057419702135295,0.0029929452005985
2012-01-13,-0.0167910907433413,-0.0049478965650329,-9.144947416539484e-05,-0.0002802428771602,-0.0011943863839952,0.0133214920071047,-0.0053523639607493,-0.0094351687388987
2012-01-16,-0.0203313661859475,0.0,-0.0004572891896835,0.0,0.0,0.0013146362839613,0.0047832585949179,-0.0001577943222733
2012-01-17,0.0490056061219703,0.0035528939018998,0.0006404977582576,0.000373761913661,0.0006975585450923,0.0183807439824945,0.0065456709312703,0.0054662840746053
2012-01-18,-0.0156100138177679,0.0111079332441812,9.144111192394e-05,0.0009340556697179,-0.0008962358095997,0.0064460678985818,-0.0014779781259237,-0.0070204477675831
2012-01-19,0.0190571342462813,0.0049386868903091,0.0018286550242294,0.0010265024262785,0.0004983554270905,0.0149444918872758,0.0059206631142687,-0.0023279541306815
2012-01-20,0.0144793080397838,0.0006694560669457,-0.0001825317148854,0.0002796681271557,0.0014943215780036,0.0079932688262516,-0.0052972336668628,0.0035432900744667
2012-01-30,-0.0173196650280142,-0.0018017607079323,-0.0004564125969876,0.0001863932898416,0.0022878742663881,0.0050083472454089,0.0461834319526628,-0.0099034059104674
2012-01-31,0.0014386033356093,-0.0004569652934859,-0.0001826484018264,-0.0012113306000745,0.0,-0.0124584717607973,0.0005373151211787,-0.0018120406476958
2012-02-01,-0.0143126131171225,0.0088996578813023,-0.0019181585677749,-0.0026121839723854,-0.0032751091703057,-0.0071488645920941,2.8264556246382355e-05,0.0007261320398501
2012-02-02,0.0235694671447803,0.0010950917233722,-0.0014642628351788,-0.0003741464783462,-0.0001991436821667,-0.0021177467174925,0.0042112998502021,0.0041359493817842
2012-02-03,0.007983943625716,0.0146053683781706,-9.165062780680522e-05,-9.357162908207872e-05,0.0,-0.0004244482173174,0.0035181536729524,0.0004335698697846
2012-02-06,-0.0007062795031304,-0.0004238233325899,-0.0015582034830429,-0.002526670409882,-0.0016930584603127,0.0131634819532908,-0.0096760622633571,0.0164974069312222
2012-02-07,-0.0185160043444928,0.0020233127282736,-0.0007344165978152,-0.0001876348625575,-0.0013966480446927,-0.0033528918692372,-0.0084961767204757,0.0153769629787536
2012-02-08,0.0285970015663459,0.0021602761590142,-0.0014699127239319,-0.0012198554940414,-0.0014985014985013,0.0008410428931875,0.0148243359040274,0.0038909961230002
2012-02-09,0.0003915767490429,0.001474117751637,-0.0022081148219706,-0.0027245396467492,-0.0005002501250624,0.0176470588235293,-0.0078527400151988,0.0058556988497735
2012-02-10,0.0017357061239982,-0.006886349347239,0.0002766251728907,0.0013188883655204,0.0,0.0019818331957059,-0.001418439716312,0.0067087116224269
2012-02-13,-0.0006472951744933,0.0068000357504616,0.0003687315634217,0.0014112334180071,0.0019019019019019,-0.0151640019779133,-0.0034090909090909,0.0052320698343637
2012-02-14,-0.003898135056359,-0.0009395089401302,0.0011979358643567,-0.000281848928974,-9.991008092724574e-05,-0.005439330543933,-0.0057012542759407,-0.0233258913284665
2012-02-15,0.0109035688372036,-0.0053831914105886,-0.0022089277496549,-0.0003759045202518,-0.001898481215028,0.0025241901556583,0.0043004587155963,0.028609093203938
2012-02-16,-0.0053106161334478,0.0110256620236295,-9.224241306149406e-05,-0.0009401146939927,-0.0021023125437981,-0.0134284515316827,-0.0008564087924636,-0.0016224470318764
2012-02-17,0.0004021971002377,0.0023489735206621,-0.0004612546125462,9.409993413012074e-05,-0.0007022471910113,0.0085070182900892,0.0054285714285713,0.0083985415215699
2012-02-20,0.0014268315274585,0.0,0.001661282879557,0.0015995483628152,0.0030117458086538,-0.0039645719105863,0.0017050298380221,0.0049023590910322
2012-02-21,0.0085566632949056,0.0007199371156969,0.0005528425320189,-0.0004697040864255,-0.0032028825943348,-0.001100948509485,-0.0002836879432625,-0.000498625411029
2012-02-22,0.0136705106441101,-0.003340160474523,-0.0003683580440188,9.398496240597964e-05,-0.0005020584396023,0.0084781687155575,0.0104994324631102,0.0140358919735192
2012-02-23,0.0033801992700617,0.0042720563322187,-0.0002763703362506,0.000187952260126,0.0009041591320071,-0.0015132408575031,0.0106711597865767,0.0073795340921178
2012-02-24,0.01602296010375,0.0016722162733047,-9.214891264275328e-05,0.0004697923517804,0.0001003713740841,0.0002525890376356,0.0019449847179773,0.0097541016063249
2012-02-27,0.003228827576831,0.0013545770058722,-0.0011058888581697,-0.0020661157024792,-0.0021075873143315,0.0,-0.0006932889628397,0.0085618676635905
